Название улицы,Длина,Начальные координаты,Конечные координаты
Гапара Айтиева улица,36.328,"(72.7948336, 40.5289954)","(72.7952559, 40.5290563)"
Гапара Айтиева улица,10.554,"(72.7948336, 40.5289954)","(72.7947111, 40.528977)"
Курманжан Датка улица,64.768,"(72.7948336, 40.5289954)","(72.7950022, 40.5284272)"
Алишера Новои улица,69.95,"(72.7717214, 40.5284242)","(72.772161, 40.5289572)"
,98.07700000000001,"(72.7717214, 40.5284242)","(72.772161, 40.5289572)"
Алишера Новои улица,262.793,"(72.7717214, 40.5284242)","(72.7701475, 40.526386)"
Гапара Айтиева улица,134.146,"(72.7772211, 40.5270351)","(72.7757568, 40.5265697)"
Краснофлотская улица,54.21,"(72.7772211, 40.5270351)","(72.77727, 40.526549)"
Гапара Айтиева улица,298.094,"(72.7772211, 40.5270351)","(72.7807206, 40.5271214)"
Гапара Айтиева улица,169.576,"(72.7752563, 40.5264105)","(72.7733075, 40.5260479)"
Гапара Айтиева улица,45.857,"(72.7752563, 40.5264105)","(72.7757568, 40.5265697)"
Чкалова улица,136.974,"(72.7752563, 40.5264105)","(72.7752686, 40.5251787)"
Западная улица,143.876,"(72.7716848, 40.5258789)","(72.7717324, 40.5245855)"
Гапара Айтиева улица,66.606,"(72.7716848, 40.5258789)","(72.7709006, 40.5258198)"
Гапара Айтиева улица,122.754,"(72.7716848, 40.5258789)","(72.7731245, 40.5260243)"
Гапара Айтиева улица,109.44500000000001,"(72.7689924, 40.5256413)","(72.7677664, 40.5253259)"
Гапара Айтиева улица,58.09,"(72.7689924, 40.5256413)","(72.7696729, 40.5257137)"
Рысбая Абдыкадырова улица,136.094,"(72.7675483, 40.5207677)","(72.7661072, 40.5202219)"
Рысбая Абдыкадырова улица,19.712,"(72.7675483, 40.5207677)","(72.7677482, 40.520859)"
,108.695,"(72.7675483, 40.5207677)","(72.766953, 40.5216302)"
Осмонова Б. улица,54.385,"(72.7634073, 40.5192062)","(72.7631321, 40.5196483)"
Осмонова Б. улица,102.771,"(72.7634073, 40.5192062)","(72.7639288, 40.5183713)"
Рысбая Абдыкадырова улица,22.606,"(72.7634073, 40.5192062)","(72.7636469, 40.5192965)"
,88.914,"(72.7771579, 40.5007942)","(72.7776929, 40.5001058)"
Осмонова Б. улица,102.763,"(72.7771579, 40.5007942)","(72.7765451, 40.5015923)"
Осмонова Б. улица,34.273,"(72.7653344, 40.5160162)","(72.7651652, 40.5162963)"
Осмонова Б. улица,35.963,"(72.7653344, 40.5160162)","(72.7655498, 40.5157373)"
,267.927,"(72.7653344, 40.5160162)","(72.7625756, 40.5148978)"
Толонова улица,57.975,"(72.807581, 40.4795803)","(72.8077473, 40.4800861)"
Ишматова улица,55.237,"(72.807581, 40.4795803)","(72.8080681, 40.4792494)"
Ишматова улица,69.998,"(72.807581, 40.4795803)","(72.8069623, 40.4799984)"
Толонова улица,314.177,"(72.807581, 40.4795803)","(72.806264, 40.476948)"
,76.835,"(72.8130953, 40.4781056)","(72.8133117, 40.4774345)"
Ишматова улица,113.678,"(72.8130953, 40.4781056)","(72.8144235, 40.478262)"
Ишматова улица,14.429,"(72.8130953, 40.4781056)","(72.8129251, 40.4780968)"
Толонова улица,63.065,"(72.8091061, 40.4901638)","(72.8091471, 40.4907301)"
Пичугина улица,51.37,"(72.8091061, 40.4901638)","(72.8097135, 40.4901574)"
Толонова улица,81.578,"(72.8091061, 40.4901638)","(72.8088889, 40.4894493)"
Пичугина улица,108.52600000000001,"(72.8091061, 40.4901638)","(72.8078242, 40.4902098)"
Атабаева улица,36.426,"(72.8092121, 40.4963962)","(72.8095404, 40.4966083)"
Абжалова улица,69.44200000000001,"(72.8092121, 40.4963962)","(72.8084407, 40.4962462)"
Атабаева улица,143.175,"(72.8092121, 40.4963962)","(72.8085707, 40.4952168)"
Юнусова улица,206.114,"(72.8111122, 40.4781961)","(72.8119494, 40.4799369)"
,64.775,"(72.8111122, 40.4781961)","(72.8108901, 40.4776386)"
Ишматова улица,72.282,"(72.8111122, 40.4781961)","(72.8103123, 40.4784249)"
Ишматова улица,79.755,"(72.8111122, 40.4781961)","(72.8120396, 40.4780773)"
Куренкеева улица,129.957,"(72.8148529, 40.48603)","(72.8155558, 40.4870693)"
Куренкеева улица,109.614,"(72.8148529, 40.48603)","(72.8144559, 40.4850916)"
,60.914,"(72.8148529, 40.48603)","(72.8141705, 40.4862053)"
,91.632,"(72.8170532, 40.4928248)","(72.8179029, 40.4933362)"
,66.48700000000001,"(72.8170532, 40.4928248)","(72.816751, 40.4925087)"
,75.273,"(72.8203535, 40.4947901)","(72.8210008, 40.4952548)"
,108.882,"(72.8203535, 40.4947901)","(72.8193069, 40.4942197)"
Ленина улица,76.702,"(72.8203535, 40.4947901)","(72.8199958, 40.495424)"
Ленина улица,136.633,"(72.8203535, 40.4947901)","(72.8209456, 40.4936468)"
Ленина улица,121.709,"(72.8158948, 40.5028117)","(72.8154219, 40.5038455)"
Ленина улица,62.978,"(72.8158948, 40.5028117)","(72.8162113, 40.502299)"
,154.937,"(72.8158948, 40.5028117)","(72.8145758, 40.502004)"
Суйумбаева улица,65.711,"(72.8064629, 40.5015402)","(72.8060043, 40.5010631)"
Атабаева улица,21.61,"(72.8064629, 40.5015402)","(72.8066246, 40.5013897)"
Суйумбаева улица,36.903,"(72.8064629, 40.5015402)","(72.8067466, 40.5017924)"
Примова Б. улица,180.75699999999998,"(72.8064629, 40.5015402)","(72.8048055, 40.5020585)"
Суйумбаева улица,30.785,"(72.8091173, 40.5033206)","(72.8094465, 40.5034389)"
Суйумбаева улица,120.241,"(72.8091173, 40.5033206)","(72.8079744, 40.5026879)"
Алишера Новои улица,48.332,"(72.7761514, 40.531571)","(72.7757297, 40.5312774)"
,667.7180000000001,"(72.7761514, 40.531571)","(72.7731245, 40.5260243)"
Алишера Новои улица,244.142,"(72.7761514, 40.531571)","(72.7782303, 40.5330937)"
Алишера Новои улица,125.895,"(72.7786709, 40.5332164)","(72.7799913, 40.5337406)"
Алишера Новои улица,20.502,"(72.7786709, 40.5332164)","(72.778438, 40.5331648)"
